"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986","New Brunswick","2016A000213","Authorized police officer strength","Number","223","units ","0","v65783526","5.12","74658","","","","0"
"1986","New Brunswick","2016A000213","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783527","5.13","10295.5","","","","1"
"1986","New Brunswick","2016A000213","Criminal Code incidents per police officer","Rate","257","units ","0","v19457827","5.7","40.7","","","","1"
"1986","New Brunswick","2016A000213","Total expenditures on policing","Dollars","81","thousands","3","v21570903","5.8","59856","","","t","0"
"1986","New Brunswick","2016A000213","Per capita cost","Dollars","81","units ","0","v21570919","5.9","83","","","t","0"
"1986","New Brunswick","2016A000213","Crime severity index","Index","160","units ","0","v65783528","5.14","","..","","","2"
"1986","New Brunswick","2016A000213","Weighted clearance rate","Rate","257","units ","0","v65783529","5.15","","..","","","2"
"1986","Quebec","2016A000224","Total number of all personnel","Number","223","units ","0","v19457830","6.1","17757","","","","0"
"1986","Quebec","2016A000224","Total number of police officers","Number","223","units ","0","v19457828","6.2","13662","","","","0"
"1986","Quebec","2016A000224","Male police officers","Number","223","units ","0","v53509197","6.10","13326","","","","0"
"1986","Quebec","2016A000224","Female police officers","Number","223","units ","0","v53509198","6.11","336","","","","0"
"1986","Quebec","2016A000224","Total number of civilian and other personnel","Number","223","units ","0","v19457829","6.3","4095","","","","0"
"1986","Quebec","2016A000224","Police-civilian ratio","Ratio","270","units ","0","v19457831","6.4","3.3","","","","1"
"1986","Quebec","2016A000224","Population per police officer","Rate","257","units ","0","v19457832","6.5","491.0","","","t","1"
"1986","Quebec","2016A000224","Police officers per 100,000 population","Rate","257","units ","0","v19457833","6.6","203.7","","","","1"
"1986","Quebec","2016A000224","Authorized police officer strength","Number","223","units ","0","v65783538","6.12","363277","","","","0"
"1986","Quebec","2016A000224","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783539","6.13","5415.2","","","","1"
"1986","Quebec","2016A000224","Criminal Code incidents per police officer","Rate","257","units ","0","v19457834","6.7","33.6","","","","1"
"1986","Quebec","2016A000224","Total expenditures on policing","Dollars","81","thousands","3","v21570904","6.8","881982","","","t","0"
"1986","Quebec","2016A000224","Per capita cost","Dollars","81","units ","0","v21570920","6.9","131","","","t","0"
"1986","Quebec","2016A000224","Crime severity index","Index","160","units ","0","v65783540","6.14","","..","","","2"
"1986","Quebec","2016A000224","Weighted clearance rate","Rate","257","units ","0","v65783541","6.15","","..","","","2"
"1986","Ontario","2016A000235","Total number of all personnel","Number","223","units ","0","v19457837","7.1","24822","","","","0"
"1986","Ontario","2016A000235","Total number of police officers","Number","223","units ","0","v19457835","7.2","18332","","","","0"
"1986","Ontario","2016A000235","Male police officers","Number","223","units ","0","v53509199","7.10","17670","","","","0"
"1986","Ontario","2016A000235","Female police officers","Number","223","units ","0","v53509200","7.11","662","","","","0"
"1986","Ontario","2016A000235","Total number of civilian and other personnel","Number","223","units ","0","v19457836","7.3","6490","","","","0"
"1986","Ontario","2016A000235","Police-civilian ratio","Ratio","270","units ","0","v19457838","7.4","2.8","","","","1"
"1986","Ontario","2016A000235","Population per police officer","Rate","257","units ","0","v19457839","7.5","514.8","","","t","1"
"1986","Ontario","2016A000235","Police officers per 100,000 population","Rate","257","units ","0","v19457840","7.6","194.2","","","","1"
"1986","Ontario","2016A000235","Authorized police officer strength","Number","223","units ","0","v65783550","7.12","23362","","","","0"
"1986","Ontario","2016A000235","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783551","7.13","247.5","","","","1"
"1986","Ontario","2016A000235","Criminal Code incidents per police officer","Rate","257","units ","0","v19457841","7.7","42.1","","","","1"
"1986","Ontario","2016A000235","Total expenditures on policing","Dollars","81","thousands","3","v21570905","7.8","1178071","","","t","0"
"1986","Ontario","2016A000235","Per capita cost","Dollars","81","units ","0","v21570921","7.9","125","","","t","0"
"1986","Ontario","2016A000235","Crime severity index","Index","160","units ","0","v65783552","7.14","","..","","","2"
"1986","Ontario","2016A000235","Weighted clearance rate","Rate","257","units ","0","v65783553","7.15","","..","","","2"
"1986","Manitoba","2016A000246","Total number of all personnel","Number","223","units ","0","v19457844","8.1","2579","","","","0"
"1986","Manitoba","2016A000246","Total number of police officers","Number","223","units ","0","v19457842","8.2","2046","","","","0"
"1986","Manitoba","2016A000246","Male police officers","Number","223","units ","0","v53509201","8.10","1959","","","","0"
"1986","Manitoba","2016A000246","Female police officers","Number","223","units ","0","v53509202","8.11","87","","","","0"
"1986","Manitoba","2016A000246","Total number of civilian and other personnel","Number","223","units ","0","v19457843","8.3","533","","","","0"
"1986","Manitoba","2016A000246","Police-civilian ratio","Ratio","270","units ","0","v19457845","8.4","3.8","","","","1"
"1986","Manitoba","2016A000246","Population per police officer","Rate","257","units ","0","v19457846","8.5","533.6","","","t","1"
"1986","Manitoba","2016A000246","Police officers per 100,000 population","Rate","257","units ","0","v19457847","8.6","187.4","","","","1"
"1986","Manitoba","2016A000246","Authorized police officer strength","Number","223","units ","0","v65783562","8.12","364","","","","0"
"1986","Manitoba","2016A000246","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783563","8.13","33.3","","","","1"
"1986","Manitoba","2016A000246","Criminal Code incidents per police officer","Rate","257","units ","0","v19457848","8.7","62.6","","","","1"
"1986","Manitoba","2016A000246","Total expenditures on policing","Dollars","81","thousands","3","v21570906","8.8","94410","","","t","0"
"1986","Manitoba","2016A000246","Per capita cost","Dollars","81","units ","0","v21570922","8.9","86","","","t","0"
"1986","Manitoba","2016A000246","Crime severity index","Index","160","units ","0","v65783564","8.14","","..","","","2"
"1986","Manitoba","2016A000246","Weighted clearance rate","Rate","257","units ","0","v65783565","8.15","","..","","","2"
"1986","Saskatchewan","2016A000247","Total number of all personnel","Number","223","units ","0","v19457851","9.1","2542","","","","0"
"1986","Saskatchewan","2016A000247","Total number of police officers","Number","223","units ","0","v19457849","9.2","1921","","","","0"
"1986","Saskatchewan","2016A000247","Male police officers","Number","223","units ","0","v53509203","9.10","1842","","","","0"
"1986","Saskatchewan","2016A000247","Female police officers","Number","223","units ","0","v53509204","9.11","79","","","","0"
"1986","Saskatchewan","2016A000247","Total number of civilian and other personnel","Number","223","units ","0","v19457850","9.3","621","","","","0"
"1986","Saskatchewan","2016A000247","Police-civilian ratio","Ratio","270","units ","0","v19457852","9.4","3.1","","","","1"
"1986","Saskatchewan","2016A000247","Population per police officer","Rate","257","units ","0","v19457853","9.5","535.8","","","t","1"
"1986","Saskatchewan","2016A000247","Police officers per 100,000 population","Rate","257","units ","0","v19457854","9.6","186.6","","","","1"
"1986","Saskatchewan","2016A000247","Authorized police officer strength","Number","223","units ","0","v65783574","9.12","276","","","","0"
"1986","Saskatchewan","2016A000247","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783575","9.13","26.8","","","","1"
"1986","Saskatchewan","2016A000247","Criminal Code incidents per police officer","Rate","257","units ","0","v19457855","9.7","57.3","","","","1"
"1986","Saskatchewan","2016A000247","Total expenditures on policing","Dollars","81","thousands","3","v21570907","9.8","101543","","","t","0"
"1986","Saskatchewan","2016A000247","Per capita cost","Dollars","81","units ","0","v21570923","9.9","99","","","t","0"
"1986","Saskatchewan","2016A000247","Crime severity index","Index","160","units ","0","v65783576","9.14","","..","","","2"
"1986","Saskatchewan","2016A000247","Weighted clearance rate","Rate","257","units ","0","v65783577","9.15","","..","","","2"
"1986","Alberta","2016A000248","Total number of all personnel","Number","223","units ","0","v19457858","10.1","5627","","","","0"
"1986","Alberta","2016A000248","Total number of police officers","Number","223","units ","0","v19457856","10.2","4214","","","","0"
"1986","Alberta","2016A000248","Male police officers","Number","223","units ","0","v53509175","10.10","4021","","","","0"
"1986","Alberta","2016A000248","Female police officers","Number","223","units ","0","v53509176","10.11","193","","","","0"
"1986","Alberta","2016A000248","Total number of civilian and other personnel","Number","223","units ","0","v19457857","10.3","1413","","","","0"
"1986","Alberta","2016A000248","Police-civilian ratio","Ratio","270","units ","0","v19457859","10.4","3.0","","","","1"
"1986","Alberta","2016A000248","Population per police officer","Rate","257","units ","0","v19457860","10.5","576.9","","","t","1"
"1986","Alberta","2016A000248","Police officers per 100,000 population","Rate","257","units ","0","v19457861","10.6","173.3","","","","1"
"1986","Alberta","2016A000248","Authorized police officer strength","Number","223","units ","0","v65783586","10.12","1707","","","","0"
"1986","Alberta","2016A000248","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783587","10.13","70.2","","","","1"
"1986","Alberta","2016A000248","Criminal Code incidents per police officer","Rate","257","units ","0","v19457862","10.7","55.2","","","","1"
"1986","Alberta","2016A000248","Total expenditures on policing","Dollars","81","thousands","3","v21570908","10.8","249804","","","t","0"
"1986","Alberta","2016A000248","Per capita cost","Dollars","81","units ","0","v21570924","10.9","103","","","t","0"
"1986","Alberta","2016A000248","Crime severity index","Index","160","units ","0","v65783588","10.14","","..","","","2"
"1986","Alberta","2016A000248","Weighted clearance rate","Rate","257","units ","0","v65783589","10.15","","..","","","2"
"1986","British Columbia","2016A000259","Total number of all personnel","Number","223","units ","0","v19457865","11.1","6770","","","","0"
"1986","British Columbia","2016A000259","Total number of police officers","Number","223","units ","0","v19457863","11.2","5401","","","","0"
"1986","British Columbia","2016A000259","Male police officers","Number","223","units ","0","v53509177","11.10","5071","","","","0"
"1986","British Columbia","2016A000259","Female police officers","Number","223","units ","0","v53509178","11.11","330","","","","0"
"1986","British Columbia","2016A000259","Total number of civilian and other personnel","Number","223","units ","0","v19457864","11.3","1369","","","","0"
"1986","British Columbia","2016A000259","Police-civilian ratio","Ratio","270","units ","0","v19457866","11.4","3.9","","","","1"
"1986","British Columbia","2016A000259","Population per police officer","Rate","257","units ","0","v19457867","11.5","556.2","","","t","1"
"1986","British Columbia","2016A000259","Police officers per 100,000 population","Rate","257","units ","0","v19457868","11.6","179.8","","","","1"
"1986","British Columbia","2016A000259","Authorized police officer strength","Number","223","units ","0","v65783598","11.12","679","","","","0"
"1986","British Columbia","2016A000259","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783599","11.13","22.6","","","","1"
"1986","British Columbia","2016A000259","Criminal Code incidents per police officer","Rate","257","units ","0","v19457869","11.7","74.3","","","","1"
"1986","British Columbia","2016A000259","Total expenditures on policing","Dollars","81","thousands","3","v21570909","11.8","263693","","","t","0"
"1986","British Columbia","2016A000259","Per capita cost","Dollars","81","units ","0","v21570925","11.9","88","","","t","0"
"1986","British Columbia","2016A000259","Crime severity index","Index","160","units ","0","v65783600","11.14","","..","","","2"
"1986","British Columbia","2016A000259","Weighted clearance rate","Rate","257","units ","0","v65783601","11.15","","..","","","2"
"1986","Yukon","2016A000260","Total number of all personnel","Number","223","units ","0","v19457872","12.1","145","","","","0"
"1986","Yukon","2016A000260","Total number of police officers","Number","223","units ","0","v19457870","12.2","101","","","","0"
"1986","Yukon","2016A000260","Male police officers","Number","223","units ","0","v53509179","12.10","98","","","","0"
"1986","Yukon","2016A000260","Female police officers","Number","223","units ","0","v53509180","12.11","3","","","","0"
"1986","Yukon","2016A000260","Total number of civilian and other personnel","Number","223","units ","0","v19457871","12.3","44","","","","0"
"1986","Yukon","2016A000260","Police-civilian ratio","Ratio","270","units ","0","v19457873","12.4","2.3","","","","1"
"1986","Yukon","2016A000260","Population per police officer","Rate","257","units ","0","v19457874","12.5","242.4","","","t","1"
"1986","Yukon","2016A000260","Police officers per 100,000 population","Rate","257","units ","0","v19457875","12.6","412.6","","","","1"
"1986","Yukon","2016A000260","Authorized police officer strength","Number","223","units ","0","v65783610","12.12","","..","","","0"
"1986","Yukon","2016A000260","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783611","12.13","","..","","","1"
"1986","Yukon","2016A000260","Criminal Code incidents per police officer","Rate","257","units ","0","v19457876","12.7","45.1","","","","1"
"1986","Yukon","2016A000260","Total expenditures on policing","Dollars","81","thousands","3","v21570910","12.8","5497","","","t","0"
"1986","Yukon","2016A000260","Per capita cost","Dollars","81","units ","0","v21570926","12.9","225","","","t","0"
"1986","Yukon","2016A000260","Crime severity index","Index","160","units ","0","v65783612","12.14","","..","","","2"
"1986","Yukon","2016A000260","Weighted clearance rate","Rate","257","units ","0","v65783613","12.15","","..","","","2"
"1986","Northwest Territories including Nunavut","","Total number of all personnel","Number","223","units ","0","v19457886","13.1","281","","","t","0"
"1986","Northwest Territories including Nunavut","","Total number of police officers","Number","223","units ","0","v19457884","13.2","199","","","t","0"
"1986","Northwest Territories including Nunavut","","Male police officers","Number","223","units ","0","v53509181","13.10","194","","","t","0"
"1986","Northwest Territories including Nunavut","","Female police officers","Number","223","units ","0","v53509182","13.11","5","","","t","0"
"1986","Northwest Territories including Nunavut","","Total number of civilian and other personnel","Number","223","units ","0","v19457885","13.3","82","","","t","0"
"1986","Northwest Territories including Nunavut","","Police-civilian ratio","Ratio","270","units ","0","v19457887","13.4","2.4","","","t","1"
"1986","Northwest Territories including Nunavut","","Population per police officer","Rate","257","units ","0","v19457888","13.5","274.9","","","t","1"
"1986","Northwest Territories including Nunavut","","Police officers per 100,000 population","Rate","257","units ","0","v19457889","13.6","363.8","","","t","1"
"1986","Northwest Territories including Nunavut","","Total expenditures on policing","Dollars","81","thousands","3","v21570911","13.8","15982","","","t","0"
"1986","Northwest Territories including Nunavut","","Per capita cost","Dollars","81","units ","0","v21570927","13.9","292","","","t","0"
"1986","Northwest Territories","2016A000261","Total number of all personnel","Number","223","units ","0","v19457879","14.1","","..","","","0"
"1986","Northwest Territories","2016A000261","Total number of police officers","Number","223","units ","0","v19457877","14.2","","..","","","0"
"1986","Northwest Territories","2016A000261","Male police officers","Number","223","units ","0","v53509183","14.10","","..","","","0"
"1986","Northwest Territories","2016A000261","Female police officers","Number","223","units ","0","v53509184","14.11","","..","","","0"
"1986","Northwest Territories","2016A000261","Total number of civilian and other personnel","Number","223","units ","0","v19457878","14.3","","..","","","0"
"1986","Northwest Territories","2016A000261","Police-civilian ratio","Ratio","270","units ","0","v19457880","14.4","","..","","","1"
"1986","Northwest Territories","2016A000261","Police officers per 100,000 population","Rate","257","units ","0","v19457882","14.6","","..","","","1"
"1986","Northwest Territories","2016A000261","Authorized police officer strength","Number","223","units ","0","v65783634","14.12","","..","","","0"
"1986","Northwest Territories","2016A000261","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783635","14.13","","..","","","1"
"1986","Northwest Territories","2016A000261","Criminal Code incidents per police officer","Rate","257","units ","0","v19457883","14.7","","..","","","1"
"1986","Northwest Territories","2016A000261","Crime severity index","Index","160","units ","0","v65783636","14.14","","..","","","2"
"1986","Northwest Territories","2016A000261","Weighted clearance rate","Rate","257","units ","0","v65783637","14.15","","..","","","2"
"1986","Nunavut","2016A000262","Total number of all personnel","Number","223","units ","0","v19457892","15.1","","..","","","0"
"1986","Nunavut","2016A000262","Total number of police officers","Number","223","units ","0","v19457890","15.2","","..","","","0"
"1986","Nunavut","2016A000262","Male police officers","Number","223","units ","0","v53509185","15.10","","..","","","0"
"1986","Nunavut","2016A000262","Female police officers","Number","223","units ","0","v53509186","15.11","","..","","","0"
"1986","Nunavut","2016A000262","Total number of civilian and other personnel","Number","223","units ","0","v19457891","15.3","","..","","","0"
"1986","Nunavut","2016A000262","Police-civilian ratio","Ratio","270","units ","0","v19457893","15.4","","..","","","1"
"1986","Nunavut","2016A000262","Police officers per 100,000 population","Rate","257","units ","0","v19457895","15.6","","..","","","1"
"1986","Nunavut","2016A000262","Authorized police officer strength","Number","223","units ","0","v65783646","15.12","","..","","","0"
"1986","Nunavut","2016A000262","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783647","15.13","","..","","","1"
"1986","Nunavut","2016A000262","Criminal Code incidents per police officer","Rate","257","units ","0","v19457896","15.7","","..","","","1"
"1986","Nunavut","2016A000262","Crime severity index","Index","160","units ","0","v65783648","15.14","","..","","","2"
"1986","Nunavut","2016A000262","Weighted clearance rate","Rate","257","units ","0","v65783649","15.15","","..","","","2"
"1986","Royal Canadian Mounted Police (RCMP), headquarters and training academy","2011A000261","Total number of all personnel","Number","223","units ","0","v19457899","16.1","4478","","","","0"
"1986","Royal Canadian Mounted Police (RCMP), headquarters and training academy","2011A000261","Total number of police officers","Number","223","units ","0","v19457897","16.2","1872","","","","0"
"1986","Royal Canadian Mounted Police (RCMP), headquarters and training academy","2011A000261","Male police officers","Number","223","units ","0","v53509187","16.10","1693","","","","0"
"1986","Royal Canadian Mounted Police (RCMP), headquarters and training academy","2011A000261","Female police officers","Number","223","units ","0","v53509188","16.11","179","","","","0"
"1986","Royal Canadian Mounted Police (RCMP), headquarters and training academy","2011A000261","Total number of civilian and other personnel","Number","223","units ","0","v19457898","16.3","2606","","","","0"
"1986","Royal Canadian Mounted Police (RCMP), headquarters and training academy","2011A000261","Police-civilian ratio","Ratio","270","units ","0","v19457900","16.4","0.8","","","","1"
"1986","Royal Canadian Mounted Police (RCMP), headquarters and training academy","2011A000261","Police officers per 100,000 population","Rate","257","units ","0","v80751157","16.6","","..","","","0"
"1986","Royal Canadian Mounted Police (RCMP), headquarters and training academy","2011A000261","Authorized police officer strength","Number","223","units ","0","v65783656","16.12","","..","","","0"
"1986","Royal Canadian Mounted Police (RCMP), headquarters and training academy","2011A000261","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v80751154","16.13","","..","","","0"
"1986","Royal Canadian Mounted Police (RCMP), headquarters and training academy","2011A000261","Criminal Code incidents per police officer","Rate","257","units ","0","v80751158","16.7","","..","","","0"
"1986","Royal Canadian Mounted Police (RCMP), headquarters and training academy","2011A000261","Total expenditures on policing","Dollars","81","thousands","3","v21570914","16.8","811760","","","t","0"
"1986","Royal Canadian Mounted Police (RCMP), headquarters and training academy","2011A000261","Crime severity index","Index","160","units ","0","v80751155","16.14","","..","","","0"
"1986","Royal Canadian Mounted Police (RCMP), headquarters and training academy","2011A000261","Weighted clearance rate","Rate","257","units ","0","v80751156","16.15","","..","","","0"
"1987","Canada","2016A000011124","Total number of all personnel","Number","223","units ","0","v19457795","1.1","72068","","","","0"
"1987","Canada","2016A000011124","Total number of police officers","Number","223","units ","0","v19457793","1.2","52510","","","","0"
"1987","Canada","2016A000011124","Male police officers","Number","223","units ","0","v53509173","1.10","50205","","","","0"
"1987","Canada","2016A000011124","Female police officers","Number","223","units ","0","v53509174","1.11","2305","","","","0"
"1987","Canada","2016A000011124","Total number of civilian and other personnel","Number","223","units ","0","v19457794","1.3","19558","","","","0"
"1987","Canada","2016A000011124","Police-civilian ratio","Ratio","270","units ","0","v19457796","1.4","2.7","","","","1"
"1987","Canada","2016A000011124","Population per police officer","Rate","257","units ","0","v19457797","1.5","503.7","","","t","1"
"1987","Canada","2016A000011124","Police officers per 100,000 population","Rate","257","units ","0","v19457798","1.6","198.5","","","","1"
"1987","Canada","2016A000011124","Authorized police officer strength","Number","223","units ","0","v65783478","1.12","48459","","","","0"
"1987","Canada","2016A000011124","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783479","1.13","183.2","","","","1"
"1987","Canada","2016A000011124","Criminal Code incidents per police officer","Rate","257","units ","0","v19457799","1.7","45.1","","","","1"
"1987","Canada","2016A000011124","Total expenditures on policing","Dollars","81","thousands","3","v21570899","1.8","4027809","","","t","0"
"1987","Canada","2016A000011124","Per capita cost","Dollars","81","units ","0","v21570915","1.9","152","","","t","0"
"1987","Canada","2016A000011124","Crime severity index","Index","160","units ","0","v65783480","1.14","","..","","","2"
"1987","Canada","2016A000011124","Weighted clearance rate","Rate","257","units ","0","v65783481","1.15","","..","","","2"
"1987","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units ","0","v19457802","2.1","1150","","","","0"
"1987","Newfoundland and Labrador","2016A000210","Total number of police officers","Number","223","units ","0","v19457800","2.2","916","","","","0"
